Id,Sales
1,4192.9883
857,4585.2153
1713,4940.736
2569,6420.8896
3425,0.04475174
4281,4302.2905
5137,3831.4902
5993,3510.8943
6849,3801.354
7705,3699.778
8561,4041.4512
9417,0.018267224
10273,4235.341
11129,3588.04
11985,3813.5903
12841,4506.262
13697,4220.87
14553,5329.887
15409,0.1228519
16265,6397.458
17121,4116.7324
17977,4197.7666
18833,4132.813
19689,3778.6392
20545,4147.868
21401,0.041731384
22257,5164.352
23113,3695.1187
23969,4050.03
24825,4141.4673
25681,4214.775
26537,5284.54
27393,0.038961112
28249,4396.423
29105,4188.9224
29961,3379.5962
30817,3756.1814
31673,3416.3052
32529,3839.2026
33385,0.33055457
34241,2959.0422
35097,3833.3987
35953,3806.888
36809,4120.3154
37665,3947.756
38521,5078.6733
39377,0.0
40233,271.2998
2,6809.133
858,6933.999
1714,8824.61
2570,9586.014
3426,0.0
4282,3722.2852
5138,5748.6865
5994,2593.6807
6850,2470.6553
7706,2723.9873
8562,2727.9165
9418,0.11776154
10274,3213.7861
11130,5923.1323
11986,6059.3853
12842,6833.466
13698,7282.7935
14554,11953.112
15410,0.0356501
16266,3779.3384
17122,5524.283
17978,5327.732
18834,5433.5874
19690,5918.2524
20546,5786.1436
21402,0.030864198
22258,3551.7148
23114,7291.5864
23970,7430.7183
24826,7262.4624
25682,8762.37
26538,9797.6045
27394,0.0
28250,3706.3096
29106,5148.427
29962,5195.5986
30818,5130.1562
31674,6071.32
32530,6452.206
33386,0.0
34242,3946.1409
35098,7017.2314
35954,7249.8525
36810,7442.2866
37666,8098.951
38522,9815.094
39378,0.001707947
40234,3877.5903
3,8385.21
859,8635.925
1715,10413.425
2571,12640.937
3427,0.024150768
4283,5655.1006
5139,5838.2725
5995,6018.8906
6851,6014.2363
7707,6120.8896
8563,6570.0205
9419,0.085282646
10275,5954.3887
11131,8281.282
11987,9572.1455
12843,10480.352
13699,11802.243
14555,14197.693
15411,0.08262431
16267,6852.518
17123,8036.0093
17979,6660.0176
18835,5896.6436
19691,8468.832
20547,8500.531
21403,0.01879838
22259,6384.797
23115,9015.404
23971,8868.308
24827,8999.837
25683,14230.8125
26539,15464.67
27395,0.013059494
28251,6594.562
29107,8299.422
29963,7524.605
30819,7657.57
31675,8321.172
32531,9488.466
33387,0.09773745
34243,6564.627
35099,11774.495
35955,10910.39
36811,11297.366
37667,12121.321
38523,15724.481
39379,0.17200655
40235,6821.009
4,6851.08
860,6312.61
1716,7226.469
2572,8550.842
3428,0.049366295
4284,3703.7153
5140,5339.922
5996,5099.1626
6852,4866.8325
7708,4837.5444
8564,5380.184
9420,0.0067949626
10276,3886.8708
11132,6432.5425
11988,7672.8496
12844,7817.295
13700,8359.721
14556,10278.174
15412,0.04322741
16268,3883.6206
17124,5170.8047
17980,4645.422
18836,4350.127
19692,4957.5654
20548,5411.6055
21404,0.07250268
22260,3454.7935
23116,5922.448
23972,6652.9893
24828,6133.9517
25684,7662.041
26540,8940.087
27396,0.024489237
28252,3788.8787
29108,5243.588
29964,4992.968
30820,4850.5464
31676,5359.435
32532,5632.5493
33388,0.01253118
34244,3827.3882
35100,6742.148
35956,6920.157
36812,6547.968
37668,7330.406
38524,9785.547
39380,0.1004393
40236,4105.642
5,6756.3164
861,7137.821
1717,7903.3457
2573,9791.204
3429,0.044328917
4285,5414.5796
5141,5218.097
5997,4706.823
6853,5068.187
7709,4978.335
8565,5671.024
9421,0.051310565
10277,5738.042
11133,7531.009
11989,7389.5063
12845,8171.102
13701,8936.898
14557,9810.714
15413,0.0
16269,6189.603
17125,5398.0215
17981,5018.058
18837,5360.0483
19693,5155.926
20549,5993.6436
21405,0.05946249
22261,5840.5166
23117,7460.4526
23973,6986.311
24829,7087.2803
25685,7903.564
26541,9852.207
27397,0.003965973
28253,5729.7017
29109,5358.8013
29965,5342.918
30821,5404.9097
31677,5373.4604
32533,5922.149
33389,0.030681452
34245,5672.371
35101,6940.609
35957,6946.6753
36813,7585.321
37669,8547.849
38525,10802.766
39381,0.048233625
40237,5930.8486
6,3506.2454
862,3527.5657
1718,5442.099
2574,6194.736
3430,0.06968436
4286,4510.231
5142,5340.8496
5998,4624.9644
6854,4812.76
7710,4933.0786
8566,5006.4497
9422,0.030682437
10278,4653.2007
11134,5547.9507
11990,5522.8613
12846,2946.7405
13702,2947.2942
14558,6299.3174
15414,0.0
16270,6418.575
17126,5369.336
17982,5045.68
18838,4581.91
19694,4826.2847
20550,4907.491
21406,0.045406044
22262,5943.953
23118,4977.067
23974,5049.787
24830,4889.656
25686,5606.2373
26542,6346.2793
27398,0.0936952
28254,5285.649
29110,5470.0825
29966,4868.7036
30822,4397.2656
31678,4490.3647
32534,4527.1924
33390,0.006738614
34246,3578.5137
35102,5000.679
35958,4830.4663
36814,4792.356
37670,4874.4233
38526,5723.3765
39382,0.0
40238,250.81026
7,6611.5034
863,6740.457
1719,7773.0493
2575,8735.408
3431,0.03660434
4287,4634.636
5143,5514.881
5999,5592.8633
6855,5497.2236
7711,5557.2617
8567,5932.5063
9423,0.0037045723
10279,4866.4424
11135,6318.435
11991,7399.8247
12847,8061.4956
13703,8686.092
14559,14010.316
15415,0.017656542
16271,6306.038
17127,6032.1323
17983,5993.763
18839,5764.89
19695,6058.761
20551,5904.478
21407,0.06727123
22263,5022.9185
23119,7098.091
23975,7624.7954
